model_key,case_id,gold_label,category,ontology_support_level,is_none_case,k,precision_at_k,rank_first_relevant,frac_why_rich,retrieved_chunks
biomedbert,gen-004,http://purl.bioontology.org/ontology/AIR/DXSLE,classic,rich,False,1,1.0,1.0,0.0,"[{""label"": ""Malar (butterfly) rash"", ""score"": 0.6278, ""linked_dx_codes"": [""DXSLE""], ""has_why"": false}]"
biomedbert,gen-005,http://purl.bioontology.org/ontology/AIR/DXSLE,atypical,rich,False,1,1.0,1.0,0.0,"[{""label"": ""Hemoglobin (normal 12-16 gm%)"", ""score"": 0.602, ""linked_dx_codes"": [""DXSLE""], ""has_why"": false}]"
biomedbert,gen-006,http://purl.bioontology.org/ontology/AIR/DXSLE,early,rich,False,1,0.0,,0.0,"[{""label"": ""Rheumatoid Arthritis"", ""score"": 0.6541, ""linked_dx_codes"": [], ""has_why"": false}]"
biomedbert,gen-007,http://purl.bioontology.org/ontology/AIR/DXGT,classic,rich,False,1,0.0,,0.0,"[{""label"": ""DIP joints: arthralgia with or without swelling"", ""score"": 0.685, ""linked_dx_codes"": [""DXPSO""], ""has_why"": false}]"
biomedbert,gen-008,http://purl.bioontology.org/ontology/AIR/DXGT,atypical,rich,False,1,0.0,,0.0,"[{""label"": ""Juxta-articular swelling (sausage toe)"", ""score"": 0.6771, ""linked_dx_codes"": [""DXPSO""], ""has_why"": false}]"
biomedbert,gen-009,http://purl.bioontology.org/ontology/AIR/DXGT,early,rich,False,1,0.0,,0.0,"[{""label"": ""Rheumatoid Arthritis"", ""score"": 0.6987, ""linked_dx_codes"": [], ""has_why"": false}]"
biomedbert,gen-010,http://purl.bioontology.org/ontology/AIR/DXPSO,classic,rich,False,1,0.0,,0.0,"[{""label"": ""Psoriatic Arthritis"", ""score"": 0.7985, ""linked_dx_codes"": [], ""has_why"": false}]"
biomedbert,gen-011,http://purl.bioontology.org/ontology/AIR/DXPSO,atypical,rich,False,1,0.0,,0.0,"[{""label"": ""Psoriatic Arthritis"", ""score"": 0.7987, ""linked_dx_codes"": [], ""has_why"": false}]"
biomedbert,gen-012,http://purl.bioontology.org/ontology/AIR/DXPSO,early,rich,False,1,0.0,,0.0,"[{""label"": ""Rheumatoid Arthritis"", ""score"": 0.6952, ""linked_dx_codes"": [], ""has_why"": false}]"
biomedbert,gen-013,http://purl.bioontology.org/ontology/AIR/DXANK,classic,rich,False,1,1.0,1.0,1.0,"[{""label"": ""Lumbar spine pain and/or morning stiffness or night pain of the back, improving with motion"", ""score"": 0.7963, ""linked_dx_codes"": [""DXANK"", ""DXPMR""], ""has_why"": true}]"
biomedbert,gen-014,http://purl.bioontology.org/ontology/AIR/DXANK,atypical,rich,False,1,1.0,1.0,1.0,"[{""label"": ""Lumbar spine pain and/or morning stiffness or night pain of the back, improving with motion"", ""score"": 0.7279, ""linked_dx_codes"": [""DXANK"", ""DXPMR""], ""has_why"": true}]"
biomedbert,gen-015,http://purl.bioontology.org/ontology/AIR/DXANK,early,rich,False,1,1.0,1.0,1.0,"[{""label"": ""Lumbar spine pain and/or morning stiffness or night pain of the back, improving with motion"", ""score"": 0.7669, ""linked_dx_codes"": [""DXANK"", ""DXPMR""], ""has_why"": true}]"
biomedbert,gen-016,http://purl.bioontology.org/ontology/AIR/DXPMR,classic,rich,False,1,1.0,1.0,1.0,"[{""label"": ""Lumbar spine pain and/or morning stiffness or night pain of the back, improving with motion"", ""score"": 0.7384, ""linked_dx_codes"": [""DXANK"", ""DXPMR""], ""has_why"": true}]"
biomedbert,gen-017,http://purl.bioontology.org/ontology/AIR/DXPMR,atypical,rich,False,1,1.0,1.0,1.0,"[{""label"": ""Pain with restricted abduction and/or rotation"", ""score"": 0.6959, ""linked_dx_codes"": [""DXPMR""], ""has_why"": true}]"
biomedbert,gen-018,http://purl.bioontology.org/ontology/AIR/DXPMR,early,rich,False,1,1.0,1.0,1.0,"[{""label"": ""Lumbar spine pain and/or morning stiffness or night pain of the back, improving with motion"", ""score"": 0.7262, ""linked_dx_codes"": [""DXANK"", ""DXPMR""], ""has_why"": true}]"
biomedbert,gen-019,NONE,mimicker,none,True,1,,,0.0,"[{""label"": ""Gout"", ""score"": 0.685, ""linked_dx_codes"": [], ""has_why"": false}]"
biomedbert,gen-020,NONE,mimicker,none,True,1,,,1.0,"[{""label"": ""Lumbar spine pain and/or morning stiffness or night pain of the back, improving with motion"", ""score"": 0.7498, ""linked_dx_codes"": [""DXANK"", ""DXPMR""], ""has_why"": true}]"
biomedbert,gen-021,NONE,mimicker,none,True,1,,,0.0,"[{""label"": ""Rheumatoid Arthritis"", ""score"": 0.7115, ""linked_dx_codes"": [], ""has_why"": false}]"
biomedbert,gen-022,NONE,mimicker,none,True,1,,,0.0,"[{""label"": ""Rheumatoid Arthritis"", ""score"": 0.671, ""linked_dx_codes"": [], ""has_why"": false}]"
biomedbert,gen-023,NONE,mimicker,none,True,1,,,1.0,"[{""label"": ""Lyme arthritis"", ""score"": 0.6032, ""linked_dx_codes"": [""DXRA""], ""has_why"": true}]"
biomedbert,gen-024,NONE,none,none,True,1,,,1.0,"[{""label"": ""Lumbar spine pain and/or morning stiffness or night pain of the back, improving with motion"", ""score"": 0.6819, ""linked_dx_codes"": [""DXANK"", ""DXPMR""], ""has_why"": true}]"
biomedbert,gen-025,NONE,none,none,True,1,,,1.0,"[{""label"": ""Lumbar spine pain and/or morning stiffness or night pain of the back, improving with motion"", ""score"": 0.657, ""linked_dx_codes"": [""DXANK"", ""DXPMR""], ""has_why"": true}]"
biomedbert,gen-026,NONE,none,none,True,1,,,0.0,"[{""label"": ""Juxta-articular swelling (sausage toe)"", ""score"": 0.6244, ""linked_dx_codes"": [""DXPSO""], ""has_why"": false}]"
biomedbert,gen-027,NONE,none,none,True,1,,,0.0,"[{""label"": ""Rheumatoid Arthritis"", ""score"": 0.7368, ""linked_dx_codes"": [], ""has_why"": false}]"
biomedbert,gen-028,http://purl.bioontology.org/ontology/AIR/DXRA|http://purl.bioontology.org/ontology/AIR/DXPSO,ambiguous,rich,False,1,0.0,,0.0,"[{""label"": ""Psoriatic Arthritis"", ""score"": 0.7986, ""linked_dx_codes"": [], ""has_why"": false}]"
biomedbert,gen-029,http://purl.bioontology.org/ontology/AIR/DXPMR|http://purl.bioontology.org/ontology/AIR/DXRA,ambiguous,rich,False,1,1.0,1.0,1.0,"[{""label"": ""Lumbar spine pain and/or morning stiffness or night pain of the back, improving with motion"", ""score"": 0.6985, ""linked_dx_codes"": [""DXANK"", ""DXPMR""], ""has_why"": true}]"
biomedbert,gen-030,http://purl.bioontology.org/ontology/AIR/DXPMR|NONE,ambiguous,rich,False,1,1.0,1.0,1.0,"[{""label"": ""Lumbar spine pain and/or morning stiffness or night pain of the back, improving with motion"", ""score"": 0.718, ""linked_dx_codes"": [""DXANK"", ""DXPMR""], ""has_why"": true}]"
